number,latitude,longitude,meters
1761,53.8398608962161,27.62775108240021,200.070
1771,53.8399906709908,27.627568692187197,199.421
1781,53.84025971497413,27.627552598933107,198.054
1791,53.84035783646728,27.6277671756543,197.776
1801,53.84019008022662,27.62745603940857,198.347
1811,53.83996534911514,27.6272629203595,199.458
1821,53.83980708704522,27.626812309244997,200.519
1831,53.839829243771014,27.62646362207306,200.435
1841,53.83998117528921,27.62644752881897,199.450
1851,53.84030086272505,27.62649580858124,197.520
1861,53.84035783646728,27.626855224589235,197.170
1871,53.840224897614846,27.627080530146486,197.986
1881,53.840053975612996,27.627048343638307,198.976
1891,53.83989254863725,27.627139538744814,199.908
1901,53.84026288018718,27.62696251294983,197.753
1911,53.84018691500806,27.626624554613954,198.161
1931,53.84013943670112,27.626168579081423,198.926
1941,53.840044479925766,27.62572869680298,200.035
1951,53.83993686198669,27.625900358179933,200.484
1961,53.83977543455945,27.625911087015993,201.559
1971,53.83970263375143,27.625921815852053,202.148
1981,53.839715294770606,27.62550875566376,202.123
1991,53.83970896426151,27.62677475831879,201.340
2001,53.83998750575718,27.626930326441652,199.326
2011,53.83999383622417,27.625632137278444,200.326
2021,53.84000016669023,27.625117153147585,200.265
2031,53.83973428629221,27.625176161091076,202.051
2041,53.83969946849602,27.624376862804638,201.228
2051,53.83986406145929,27.624977677623974,200.897
2061,53.8398608962161,27.624682634632336,200.460
2071,53.84002232331386,27.624376862804638,199.151
2081,53.840193245444915,27.624274938862072,198.161
2091,53.84023755847612,27.623995989124523,197.869
2101,53.84008879311438,27.624130099575268,198.743
2111,53.839905209599024,27.624382227222668,199.792
2121,53.83983557426197,27.62406036214088,200.195
2131,53.839753277805194,27.62385114983772,200.596
2141,53.83969946849602,27.623497098247753,200.399
2151,53.839721625278756,27.623175233165966,199.846
2161,53.839851400485095,27.623148411075817,199.234
2171,53.839803921797746,27.622456401149975,197.665
2181,53.83973745154497,27.622687071125256,198.609
2191,53.83998117528921,27.62262806252693,196.874
2201,53.84013943670112,27.62230619744514,194.509
2211,53.840234393261156,27.622021883289563,192.837
2221,53.840354671261395,27.62180194215034,190.844
2231,53.84015209758825,27.621694653789746,192.791
2241,53.8399685143504,27.621893137256848,195.259
2251,53.83976593880908,27.62181803540443,196.798
2261,53.83975011255363,27.621185034076916,196.724
2271,53.839914705317845,27.621142118732678,195.667
2281,53.840148932366816,27.621227949421154,193.324
2291,53.840383158105595,27.621415704052197,190.685
2301,53.83992103579585,27.621458619396435,195.512
2311,53.840177419350965,27.621404975216137,192.813
2321,53.840620547720164,27.6218126709864,188.170
2331,53.84089591798697,27.621683924953686,186.050
2341,53.841190277304044,27.62180194215034,184.673
2351,53.84129789202167,27.622037976543652,184.945
2361,53.84124408469742,27.62236520604347,186.039
2371,53.841269405799814,27.62281581715797,187.187
2381,53.84113963498829,27.622172086994397,186.138
2391,53.8409212392999,27.621962874691235,186.886
2401,53.84076614601788,27.62209162072395,188.357
2411,53.8405794002834,27.622155993740307,189.928
2421,53.840436966536195,27.62236520604347,192.035
2431,53.84024072369083,27.622665613453137,194.890
2441,53.84002232331386,27.623019665043103,197.803
2451,53.84017425413149,27.62284800366615,196.096
2461,53.84010461924182,27.623218148510205,197.662
2471,53.8399748448203,27.62336298779701,198.797
2481,53.8399685143504,27.623534649173962,199.079
2491,53.84009828879156,27.623700946132885,198.591
2501,53.84006030606994,27.623969167034375,198.918
2511,53.84027870624882,27.623770683567272,197.636
2521,53.84017425413149,27.623432725231396,197.613
2531,53.84034517564237,27.623148411075817,195.752
2541,53.840478114112926,27.622976749698864,194.244
2551,53.84064270401553,27.622681706707226,191.703
2561,53.840797797754746,27.622821181576,190.976
2571,53.84100036830408,27.622756808559643,189.125
2581,53.84115862586386,27.622960656444775,188.449
2591,53.84134536901504,27.623202055256115,187.775
2601,53.84120293787339,27.62332007245277,189.167
2611,53.84101935924286,27.623239606182324,190.507
2621,53.84086110115668,27.623207419674145,191.817
2631,53.84075032014049,27.623207419674145,192.778
2641,53.840614217347905,27.62334689454292,194.410
2651,53.84046228812666,27.623400538723217,195.647
2661,53.84036416687828,27.623518555919873,196.602
2671,53.840471783719146,27.623727768223034,196.479
2681,53.84057306990491,27.62362047986244,195.546
2691,53.8407471549643,27.623738497059094,194.322
2701,53.84088958765635,27.623481004993664,192.342
2711,53.84111114865872,27.623443454067456,190.303
2721,53.84125358011262,27.62356683568214,189.462
2731,53.841221928720294,27.62384042100166,190.368
2741,53.84107633200743,27.623722403805004,191.380
2751,53.84092756962573,27.623910158436047,192.901
2761,53.841190277304044,27.62407109097694,190.932
2771,53.84101935924286,27.624173014919506,192.399
2781,53.84066169511649,27.623931616108166,195.172
2791,53.84085793598886,27.62404426888679,193.571
2801,53.84058256547226,27.624022811214672,195.844
2811,53.840452792532034,27.62410327748512,196.646
2821,53.84037049728835,27.624226659099804,197.112
2831,53.84034201043554,27.624409049312817,197.287
2841,53.84051926164922,27.62432858304237,196.238
2851,53.84070917283125,27.62429639653419,194.872
2861,53.84094339543614,27.624414413730847,193.219
2871,53.8411712864428,27.624505608837353,191.770
2881,53.84132954335657,27.624376862804638,190.429
2891,53.84114913042715,27.624441235820996,191.723
2901,53.84104468048111,27.62460753277992,192.943
2911,53.84084844048398,27.624510973255383,194.049
2921,53.84067752102739,27.624532430927502,195.294
2931,53.84054458318994,27.62456461743568,196.303
2941,53.84040531452656,27.624752372066723,197.337
2951,53.84027554103696,27.62456998185371,197.832
2961,53.840082462661755,27.624639719288098,199.099
2971,53.84001599285116,27.62485429600929,199.755
2981,53.83998434052331,27.62454315976356,199.536
2991,53.840250219333576,27.62510105923866,198.779
3001,53.84009195834037,27.62530490712379,199.743
